State,District,Crude Birth Rate (CBR)-2010-11,Crude Birth Rate (CBR)-2011-12,Crude Birth Rate (CBR)-Change in points,Crude Death Rate (CDR)-2010-11,Crude Death Rate (CDR)-2011-12,Crude Death Rate (CDR)-Change in points,Infant Mortality rate (IMR)-2010-11,Infant Mortality rate (IMR)-2011-12,Infant Mortality rate (IMR)-Change in points,Neo- natal Mortality Rate-2010-11,Neo- natal Mortality Rate-2011-12,Neo- natal Mortality Rate-Change in points,Under Five Mortality Rate-2010-11,Under Five Mortality Rate-2011-12,Under Five Mortality Rate-Change in points,Maternal Mortality Rate (MMR)-2010-11,Maternal Mortality Rate (MMR)-2011-12,Maternal Mortality Rate (MMR)-Change in points,Sex Ratio at Birth (SRB)-2010-11,Sex Ratio at Birth (SRB)-2011-12,Sex Ratio at Birth (SRB)-Change in points,Sex Ratio (0-4 Years)-2010-11,Sex Ratio (0-4 Years)-2011-12,Sex Ratio (0-4 Years)-Change in points,Sex Ratio (Total)-2010-11,Sex Ratio (Total)-2011-12,Sex Ratio (Total)-Change in points
Assam,Assam Total,21.9,21.3,-0.6,7.2,7.1,-0.1,60,57,-3,39,38,-1,78,75,-3,381,347,-34,925,937,-12,956,957,-1,953,959,-6
Assam,Barpeta,20.8,20.6,-0.2,6.7,6.8,0.1,48,46,-2,33,34,1,65,63,-2,366,325,-41,887,908,-21,941,954,-13,936,939,-3
Assam,Bongaigaon,19.7,19.4,-0.3,6.2,6.1,-0.1,53,49,-4,31,29,-2,68,62,-6,366,325,-41,931,946,-15,984,982,2,948,949,-1
Assam,Cachar,26.5,25.8,-0.7,7.5,7.4,-0.1,57,54,-3,36,35,-1,79,76,-3,342,288,-54,929,929,0,953,961,-8,974,984,-10
Assam,Darrang,20.8,20.5,-0.3,8.3,8.2,-0.1,69,73,4,39,41,2,90,95,5,366,325,-41,953,974,-21,918,917,1,954,956,-2
Assam,Dhemaji,23,22.8,-0.2,4.5,4.4,-0.1,44,40,-4,27,26,-1,52,48,-4,367,314,-53,950,969,-19,972,961,11,949,951,-2
Assam,Dhubri,22.1,21.9,-0.2,7.1,7.1,0,72,68,-4,50,50,0,91,89,-2,366,325,-41,893,914,-21,960,969,-9,930,934,-4
Assam,Dibrugarh,20.1,19.4,-0.7,7.5,7.3,-0.2,55,52,-3,37,36,-1,71,70,-1,430,436,6,912,914,-2,950,954,-4,953,961,-8
Assam,Goalpara,22.5,21.9,-0.6,6.9,6.8,-0.1,56,56,0,39,40,1,74,74,0,366,325,-41,878,920,-42,957,925,32,946,948,-2
Assam,Golaghat,21.9,21.4,-0.5,8,7.9,-0.1,62,59,-3,47,45,-2,82,76,-6,430,436,6,923,940,-17,955,960,-5,959,968,-9
